,Year,Gdp
1190,1190,1237
1191,1191,1237.8
1192,1192,1238.6
1193,1193,1239.4
1194,1194,1240.2
1195,1195,1241
1196,1196,1241.8
1197,1197,1242.6
1198,1198,1243.4
1199,1199,1244.2
1200,1200,1245
1201,1201,1245.8
1202,1202,1246.6
1203,1203,1247.4
1204,1204,1248.2
1205,1205,1249
1206,1206,1249.8
1207,1207,1250.6
1208,1208,1251.4
1209,1209,1252.2
1210,1210,1253
1211,1211,1253.8
1212,1212,1254.6
1213,1213,1255.4
1214,1214,1256.2
1215,1215,1257
1216,1216,1257.8
1217,1217,1258.6
1218,1218,1259.4
1219,1219,1260.2
1220,1220,1261
1221,1221,1261.8
1222,1222,1262.6
1223,1223,1263.4
1224,1224,1264.2
1225,1225,1265
1226,1226,1265.8
1227,1227,1266.6
1228,1228,1267.4
1229,1229,1268.2
1230,1230,1269
1231,1231,1269.8
1232,1232,1270.6
1233,1233,1271.4
1234,1234,1272.2
1235,1235,1273
1236,1236,1273.8
1237,1237,1274.6
1238,1238,1275.4
1239,1239,1276.2
1240,1240,1277
1241,1241,1277.8
1242,1242,1278.6
1243,1243,1279.4
1244,1244,1280.2
1245,1245,1281
1246,1246,1281.8
1247,1247,1282.6
1248,1248,1283.4
1249,1249,1284.2
1250,1250,1285
1251,1251,1285.8
1252,1252,1286.6
1253,1253,1287.4
1254,1254,1288.2
1255,1255,1289
1256,1256,1289.8
1257,1257,1290.6
1258,1258,1291.4
1259,1259,1292.2
1260,1260,1293
1261,1261,1293.8
1262,1262,1294.6
1263,1263,1295.4
1264,1264,1296.2
1265,1265,1297
1266,1266,1297.8
1267,1267,1298.6
1268,1268,1299.4
1269,1269,1300.2
1270,1270,1301
1271,1271,1301.8
1272,1272,1302.6
1273,1273,1303.4
1274,1274,1304.2
1275,1275,1305
1276,1276,1305.8
1277,1277,1306.6
1278,1278,1307.4
1279,1279,1308.2
1280,1280,1309
1281,1281,1309.8
1282,1282,1310.6
1283,1283,1311.4
1284,1284,1312.2
1285,1285,1313
1286,1286,1313.8
1287,1287,1314.6
1288,1288,1315.4
1289,1289,1316.2
1290,1290,1317
1291,1291,1317.8
1292,1292,1318.6
1293,1293,1319.4
1294,1294,1320.2
1295,1295,1321
1296,1296,1321.8
1297,1297,1322.6
1298,1298,1323.4
1299,1299,1324.2
1300,1300,1325
1301,1301,1325.8
1302,1302,1326.6
1303,1303,1327.4
1304,1304,1328.2
1305,1305,1329
1306,1306,1329.8
1307,1307,1330.6
1308,1308,1331.4
1309,1309,1332.2
1310,1310,1333
1311,1311,1333.8
1312,1312,1334.6
1313,1313,1335.4
1314,1314,1336.2
1315,1315,1337
1316,1316,1337.8
1317,1317,1338.6
1318,1318,1339.4
1319,1319,1340.2
1320,1320,1341
1321,1321,1341.8
1322,1322,1342.6
1323,1323,1343.4
1324,1324,1344.2
1325,1325,1345
1326,1326,1345.8
1327,1327,1346.6
1328,1328,1347.4
1329,1329,1348.2
1330,1330,1349
1331,1331,1349.8
1332,1332,1350.6
1333,1333,1351.4
1334,1334,1352.2
1335,1335,1353
1336,1336,1353.8
1337,1337,1354.6
1338,1338,1355.4
1339,1339,1356.2
1340,1340,1357
1341,1341,1357.8
1342,1342,1358.6
1343,1343,1359.4
1344,1344,1360.2
1345,1345,1361
1346,1346,1361.8
1347,1347,1362.6
1348,1348,1363.4
1349,1349,1364.2
1350,1350,1365
1351,1351,1365.8
1352,1352,1366.6
1353,1353,1367.4
1354,1354,1368.2
1355,1355,1369
1356,1356,1369.8
1357,1357,1370.6
1358,1358,1371.4
1359,1359,1372.2
1360,1360,1373
1361,1361,1373.8
1362,1362,1374.6
1363,1363,1375.4
1364,1364,1376.2
1365,1365,1377
1366,1366,1377.8
1367,1367,1378.6
1368,1368,1379.4
1369,1369,1380.2
1370,1370,1381
1371,1371,1381.8
1372,1372,1382.6
1373,1373,1383.4
1374,1374,1384.2
1375,1375,1385
1376,1376,1385.8
1377,1377,1386.6
1378,1378,1387.4
1379,1379,1388.2
1380,1380,1389
1381,1381,1389.8
1382,1382,1390.6
1383,1383,1391.4
1384,1384,1392.2
1385,1385,1393
1386,1386,1393.8
1387,1387,1394.6
1388,1388,1395.4
1389,1389,1396.2
1390,1390,1397
1391,1391,1397.8
1392,1392,1398.6
1393,1393,1399.4
1394,1394,1400.2
1395,1395,1401
1396,1396,1401.8
1397,1397,1402.6
1398,1398,1403.4
1399,1399,1404
1400,1400,1404
1401,1401,1404
1402,1402,1404
1403,1403,1404
1404,1404,1404
1405,1405,1414
1406,1406,1414
1407,1407,1414
1408,1408,1414
1409,1409,1414
1410,1410,1414
1411,1411,1414
1412,1412,1414
1413,1413,1414
1414,1414,1414
1415,1415,1412
1416,1416,1412
1417,1417,1412
1418,1418,1412
1419,1419,1412
1420,1420,1412
1421,1421,1412
1422,1422,1412
1423,1423,1412
1424,1424,1412
1425,1425,1498
1426,1426,1498
1427,1427,1498
1428,1428,1498
1429,1429,1498
1430,1430,1498
1431,1431,1498
1432,1432,1498
1433,1433,1498
1434,1434,1498
1435,1435,1458
1436,1436,1458
1437,1437,1458
1438,1438,1458
1439,1439,1458
1440,1440,1458
1441,1441,1458
1442,1442,1458
1443,1443,1458
1444,1444,1458
1445,1445,1375
1446,1446,1375
1447,1447,1375
1448,1448,1375
1449,1449,1375
1450,1450,1375
1451,1451,1375
1452,1452,1375
1453,1453,1375
1454,1454,1375
1455,1455,1375
1456,1456,1324
1457,1457,1324
1458,1458,1324
1459,1459,1324
1460,1460,1324
1461,1461,1324
1462,1462,1324
1463,1463,1324
1464,1464,1324
1465,1465,1324
1466,1466,1341
1467,1467,1341
1468,1468,1341
1469,1469,1341
1470,1470,1341
1471,1471,1341
1472,1472,1341
1473,1473,1341
1474,1474,1341
1475,1475,1341
1476,1476,1242
1477,1477,1242
1478,1478,1242
1479,1479,1242
1480,1480,1242
1481,1481,1242
1482,1482,1242
1483,1483,1242
1484,1484,1242
1485,1485,1242
1486,1486,1189
1487,1487,1189
1488,1488,1189
1489,1489,1189
1490,1490,1189
1491,1491,1189
1492,1492,1189
1493,1493,1189
1494,1494,1189
1495,1495,1189
1496,1496,1207
1497,1497,1207
1498,1498,1207
1499,1499,1207
1500,1500,1207
1501,1501,1207
1502,1502,1207
1503,1503,1207
1504,1504,1207
1505,1505,1207
1506,1506,1274
1507,1507,1274
1508,1508,1274
1509,1509,1274
1510,1510,1274
1511,1511,1274
1512,1512,1274
1513,1513,1274
1514,1514,1274
1515,1515,1274
1516,1516,1166
1517,1517,1166
1518,1518,1166
1519,1519,1166
1520,1520,1166
1521,1521,1166
1522,1522,1166
1523,1523,1166
1524,1524,1166
1525,1525,1166
1526,1526,1187
1527,1527,1187
1528,1528,1187
1529,1529,1187
1530,1530,1187
1531,1531,1187
1532,1532,1187
1533,1533,1187
1534,1534,1187
1535,1535,1187
1536,1536,1193
1537,1537,1193
1538,1538,1193
1539,1539,1193
1540,1540,1193
1541,1541,1193
1542,1542,1193
1543,1543,1193
1544,1544,1193
1545,1545,1193
1546,1546,1195
1547,1547,1195
1548,1548,1195
1549,1549,1195
1550,1550,1195
1551,1551,1195
1552,1552,1195
1553,1553,1195
1554,1554,1195
1555,1555,1195
1556,1556,1200
1557,1557,1200
1558,1558,1200
1559,1559,1200
1560,1560,1200
1561,1561,1200
1562,1562,1200
1563,1563,1200
1564,1564,1200
1565,1565,1200
1566,1566,1238
1567,1567,1238
1568,1568,1238
1569,1569,1238
1570,1570,1238
1571,1571,1238
1572,1572,1238
1573,1573,1238
1574,1574,1238
1575,1575,1238
1576,1576,1217
1577,1577,1217
1578,1578,1217
1579,1579,1217
1580,1580,1217
1581,1581,1217
1582,1582,1217
1583,1583,1217
1584,1584,1217
1585,1585,1217
1586,1586,1217
1587,1587,1217
1588,1588,1217
1589,1589,1217
1590,1590,1217
1591,1591,1217
1592,1592,1217
1593,1593,1217
1594,1594,1217
1595,1595,1217
1596,1596,1217
1597,1597,1217
1598,1598,1217
1599,1599,1217
1600,1600,1217
1601,1601,1217
1602,1602,1217
1603,1603,1217
1604,1604,1217
1605,1605,1217
1606,1606,1282
1607,1607,1282
1608,1608,1282
1609,1609,1282
1610,1610,1282
1611,1611,1282
1612,1612,1282
1613,1613,1282
1614,1614,1282
1615,1615,1282
1616,1616,1262
1617,1617,1262
1618,1618,1262
1619,1619,1262
1620,1620,1262
1621,1621,1262.65
1622,1622,1263.3
1623,1623,1263.95
1624,1624,1264.6
1625,1625,1265.25
1626,1626,1265.9
1627,1627,1266.55
1628,1628,1267.2
1629,1629,1267.85
1630,1630,1268.5
1631,1631,1269.15
1632,1632,1269.8
1633,1633,1270.45
1634,1634,1271.1
1635,1635,1271.75
1636,1636,1272.4
1637,1637,1273.05
1638,1638,1273.7
1639,1639,1274.35
1640,1640,1275
1641,1641,1275.65
1642,1642,1276.3
1643,1643,1276.95
1644,1644,1277.6
1645,1645,1278.25
1646,1646,1278.9
1647,1647,1279.55
1648,1648,1280.2
1649,1649,1280.85
1650,1650,1281.5
1651,1651,1282.15
1652,1652,1282.8
1653,1653,1283.45
1654,1654,1284.1
1655,1655,1284.75
1656,1656,1285.4
1657,1657,1286.05
1658,1658,1286.7
1659,1659,1287.35
1660,1660,1288
1661,1661,1330
1662,1662,1330
1663,1663,1330
1664,1664,1330
1665,1665,1330
1666,1666,1330
1667,1667,1330
1668,1668,1330
1669,1669,1330
1670,1670,1330
1671,1671,1330
1672,1672,1330
1673,1673,1280
1674,1674,1280
1675,1675,1280
1676,1676,1280
1677,1677,1280
1678,1678,1280
1679,1679,1280
1680,1680,1280
1681,1681,1280
1682,1682,1280
1683,1683,1280
1684,1684,1280
1685,1685,1280
1686,1686,1413
1687,1687,1413
1688,1688,1413
1689,1689,1413
1690,1690,1413
1691,1691,1413
1692,1692,1413
1693,1693,1413
1694,1694,1413
1695,1695,1413
1696,1696,1543
1697,1697,1543
1698,1698,1543
1699,1699,1543
1700,1700,1543
1701,1701,1543
1702,1702,1543
1703,1703,1543
1704,1704,1543
1705,1705,1543
1706,1706,1406
1707,1707,1406
1708,1708,1406
1709,1709,1406
1710,1710,1406
1711,1711,1406
1712,1712,1406
1713,1713,1406
1714,1714,1406
1715,1715,1406
1716,1716,1312
1717,1717,1312
1718,1718,1312
1719,1719,1312
1720,1720,1312
1721,1721,1312
1722,1722,1170
1723,1723,1170
1724,1724,1170
1725,1725,1170
1726,1726,1170
1727,1727,1234
1728,1728,1234
1729,1729,1234
1730,1730,1234
1731,1731,1234
1732,1732,1234
1733,1733,1234
1734,1734,1234
1735,1735,1234
1736,1736,1158
1737,1737,1158
1738,1738,1158
1739,1739,1158
1740,1740,1158
1741,1741,1158
1742,1742,1158
1743,1743,1158
1744,1744,1158
1745,1745,1158
1746,1746,1061
1747,1747,1061
1748,1748,1061
1749,1749,1061
1750,1750,1061
1751,1751,1061
1752,1752,1061
1753,1753,1061
1754,1754,1061
1755,1755,1061
1756,1756,1022
1757,1757,1022
1758,1758,1022
1759,1759,1022
1760,1760,1022
1761,1761,1022
1762,1762,1022
1763,1763,1022
1764,1764,991
1765,1765,991
1766,1766,991
1767,1767,998
1768,1768,998
1769,1769,998
1770,1770,998
1771,1771,998
1772,1772,998
1773,1773,998
1774,1774,998
1775,1775,998
1776,1776,981
1777,1777,981
1778,1778,981
1779,1779,981
1780,1780,981
1781,1781,981
1782,1782,981
1783,1783,981
1784,1784,981
1785,1785,981
1786,1786,955
1787,1787,955
1788,1788,955
1789,1789,955
1790,1790,955
1791,1791,955
1792,1792,955
1793,1793,955
1794,1794,955
1795,1795,955
1796,1796,926
1797,1797,926
1798,1798,926
1799,1799,926
1800,1800,926
1801,1801,926
1802,1802,926
1803,1803,926
1804,1804,926
1805,1805,926
1806,1806,901
1807,1807,901
1808,1808,901
1809,1809,901
1810,1810,901
1811,1811,901
1812,1812,901
1813,1813,901
1814,1814,901
